순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
5292,일반음식점,한촌설렁탕 대전둔산점,"대전광역시 서구 대덕대로249번길 15, 1층 102호 (둔산동)",대전광역시 서구 둔산동 1023 ,둔산2동,
5293,일반음식점,큰통치킨(도마점),"대전광역시 서구 도마로 82, 1층 102호 (도마동)",대전광역시 서구 도마동 74-9 ,도마1동,
5294,일반음식점,연가,"대전광역시 서구 계룡로416번길 42, 1층 (갈마동)",대전광역시 서구 갈마동 343-11 ,갈마2동,
5295,일반음식점,수경손만두,"대전광역시 서구 관저로 3-4, 다온 1층 일부호 (관저동)",대전광역시 서구 관저동 1960-8 다온 ,관저2동,
5296,일반음식점,도화지,"대전광역시 서구 신갈마로 232, 1층 (갈마동)",대전광역시 서구 갈마동 262-7 ,갈마1동,
5297,일반음식점,37.2도,"대전광역시 서구 도안동로11번길 22, 2층 일부호 (도안동)",대전광역시 서구 도안동 1767 ,도안동,
5298,일반음식점,토핑폭탄김치찜,"대전광역시 서구 도솔로319번길 34, 1층 (괴정동)",대전광역시 서구 괴정동 70-19 ,괴정동,
5299,일반음식점,쌈마이대패 도마점,"대전광역시 서구 배재로 188, 1층 일부호 (도마동)",대전광역시 서구 도마동 23-6 ,도마1동,
5300,일반음식점,주감,"대전광역시 서구 관저동로99번길 34, 1층 (관저동)",대전광역시 서구 관저동 1236 ,관저2동,
5301,일반음식점,단이 숯불갈비냉면,"대전광역시 서구 도안중로305번안길 43, 1층 일부호 (도안동)",대전광역시 서구 도안동 1457 ,도안동,
5302,일반음식점,소솜,"대전광역시 서구 원도안로241번길 24-46, 1층 (도안동)",대전광역시 서구 도안동 1013 ,도안동,042 -716 -1189
5303,일반음식점,소담,"대전광역시 서구 월평로 47, 1층 일부호 (월평동)",대전광역시 서구 월평동 507 ,월평1동,
5304,일반음식점,회뜨는 도시남자,"대전광역시 서구 원도안로26번길 7-26, 1층 일부호 (도안동)",대전광역시 서구 도안동 1651 ,도안동,
5305,일반음식점,창바위 어묵,"대전광역시 서구 둔산중로40번길 20, 1층 일부호 (둔산동)",대전광역시 서구 둔산동 1439 ,둔산1동,
